analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,2,220,0.8283978767942584,0.5417105703604361,0.37727272727272726
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,3,230,0.8650587641502633,0.5887001088947748,0.6391304347826087
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,4,253,0.7167046999822919,0.2923225173006907,0.15019762845849802
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,5,266,0.8520403573035151,0.7364968120911521,0.631578947368421
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,6,237,0.7737073440243805,0.40354256089719903,0.5274261603375527
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,1,230,0.7731487490085803,0.39718791129745123,0.5478260869565217
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,2,220,0.818060331937799,0.5588882797542704,0.37727272727272726
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,3,230,0.8678852116230441,0.6049676175465899,0.6478260869565218
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,4,253,0.7160832478558232,0.2889316114143754,0.15019762845849802
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,5,266,0.8433616091510828,0.7299385031037624,0.6240601503759399
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,6,237,0.7717331250021994,0.39486850841883153,0.5147679324894515
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1,230,0.7859614968635086,0.4392556831658247,0.5217391304347826
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,2,220,0.8389840011961722,0.5629564312673708,0.45
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,3,230,0.8672543081692985,0.5946275107052738,0.6304347826086957
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,4,253,0.7148670727266047,0.2906696760130703,0.10276679841897234
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,5,266,0.8459931880984513,0.7347508595348674,0.6729323308270677
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,6,237,0.7835854773492679,0.4103751509158966,0.6118143459915611
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,1,230,0.8146261446391232,0.4919511746704106,0.6608695652173913
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,2,220,0.9041305322966506,0.676675553885313,0.4727272727272727
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,3,230,0.8839498161367078,0.6400570467171558,0.4782608695652174
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,4,253,0.7131931613536965,0.3373962995846436,0.043478260869565216
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,5,266,0.8763896921791657,0.7703217602944266,0.6127819548872181
